Record Date,Current Month Year,Maturity,Previous Month Year,Rate Used for Previous Month Year,Present Month Year,Rate Indicated for Current Month Year,Rate Change,Source Line Number
2023-02-01,February 2023 Specific Maturities,1 Year,January 2023,4-3/4%,February 2023,4-3/4%,unch,1
2023-02-01,February 2023 Specific Maturities,5 Years,January 2023,3-3/4%,February 2023,3-3/4%,unch,2
2023-02-01,February 2023 Specific Maturities,15 Years,January 2023,3-3/4%,February 2023,3-7/8%,+1/8%,3
2023-02-01,February 2023 Specific Maturities,20 Years,January 2023,3-7/8%,February 2023,3-7/8%,unch,4
2023-01-03,January 2023 Specific Maturities,1 Year,December 2022,4-5/8%,January 2023,4-3/4%,+1/8%,1
2023-01-03,January 2023 Specific Maturities,5 Years,December 2022,4-1/8%,January 2023,3-3/4%,-3/8%,2
2023-01-03,January 2023 Specific Maturities,15 Years,December 2022,4-1/4%,January 2023,3-3/4%,-1/2%,3
2023-01-03,January 2023 Specific Maturities,20 Years,December 2022,4-3/8%,January 2023,3-7/8%,-1/2%,4
2022-12-01,December 2022 Specific Maturities,1 Year,November 2022,4-1/4%,December 2022,4-5/8%,+3/8%,1
2022-12-01,December 2022 Specific Maturities,5 Years,November 2022,4-1/8%,December 2022,4-1/8%,unch,2
2022-12-01,December 2022 Specific Maturities,15 Years,November 2022,4%,December 2022,4-1/4%,+1/4%,3
2022-12-01,December 2022 Specific Maturities,20 Years,November 2022,4-1/8%,December 2022,4-3/8%,+1/4%,4
2022-11-01,November 2022 Specific Maturities,1 Year,October 2022,3-5/8%,November 2022,4-1/4%,+5/8%,1
2022-11-01,November 2022 Specific Maturities,5 Years,October 2022,3-3/8%,November 2022,4-1/8%,+3/4%,2
2022-11-01,November 2022 Specific Maturities,15 Years,October 2022,3-1/2%,November 2022,4%,+1/2%,3
2022-11-01,November 2022 Specific Maturities,20 Years,October 2022,3-5/8%,November 2022,4-1/8%,+1/2%,4
2022-10-03,October 2022 Specific Maturities,1 Year,September 2022,3-1/8%,October 2022,3-5/8%,+1/2%,1
2022-10-03,October 2022 Specific Maturities,5 Years,September 2022,2-7/8%,October 2022,3-3/8%,+1/2%,2
2022-10-03,October 2022 Specific Maturities,15 Years,September 2022,3-1/8%,October 2022,3-1/2%,+3/8%,3
2022-10-03,October 2022 Specific Maturities,20 Years,September 2022,3-1/4%,October 2022,3-5/8%,+3/8%,4
2022-09-01,September 2022 Specific Maturities,1 Year,August 2022,3%,September 2022,3-1/8%,+1/8%,1
2022-09-01,September 2022 Specific Maturities,5 Years,August 2022,3-1/8%,September 2022,2-7/8%,-1/4%,2
2022-09-01,September 2022 Specific Maturities,15 Years,August 2022,3-1/4%,September 2022,3-1/8%,-1/8%,3
2022-09-01,September 2022 Specific Maturities,20 Years,August 2022,3-3/8%,September 2022,3-1/4%,-1/8%,4
2022-08-01,August 2022 Specific Maturities,1 Year,July 2022,2-3/8%,August 2022,3%,+5/8%,1
2022-08-01,August 2022 Specific Maturities,5 Years,July 2022,3%,August 2022,3-1/8%,+1/8%,2
2022-08-01,August 2022 Specific Maturities,15 Years,July 2022,3-1/4%,August 2022,3-1/4%,unch,3
2022-08-01,August 2022 Specific Maturities,20 Years,July 2022,3-3/8%,August 2022,3-3/8%,unch,4
2022-07-01,July 2022 Specific Maturities,1 Year,June 2022,2%,July 2022,2-3/8%,+3/8%,1
2022-07-01,July 2022 Specific Maturities,5 Years,June 2022,2-7/8%,July 2022,3%,+1/8%,2
2022-07-01,July 2022 Specific Maturities,15 Years,June 2022,3-1/8%,July 2022,3-1/4%,+1/8%,3
2022-07-01,July 2022 Specific Maturities,20 Years,June 2022,3-1/4%,July 2022,3-3/8%,+1/8%,4
2022-06-01,June 2022 Specific Maturities,1 Year,May 2022,1-3/4%,June 2022,2%,+1/4%,1
2022-06-01,June 2022 Specific Maturities,5 Years,May 2022,2-5/8%,June 2022,2-7/8%,+1/4%,2
2022-06-01,June 2022 Specific Maturities,15 Years,May 2022,2-3/4%,June 2022,3-1/8%,+3/8%,3
2022-06-01,June 2022 Specific Maturities,20 Years,May 2022,2-7/8%,June 2022,3-1/4%,+3/8%,4
2022-05-02,May 2022 Specific Maturities,1 Year,April 2022,1-1/8%,May 2022,1-3/4%,+5/8%,1
2022-05-02,May 2022 Specific Maturities,5 Years,April 2022,1-7/8%,May 2022,2-5/8%,+3/4%,2
2022-05-02,May 2022 Specific Maturities,15 Years,April 2022,2-1/4%,May 2022,2-3/4%,+1/2%,3
2022-05-02,May 2022 Specific Maturities,20 Years,April 2022,2-3/8%,May 2022,2-7/8%,+1/2%,4
2022-04-01,April 2022 Specific Maturities,1 year,March 2022,7/8%,April 2022,1-1/8%,+1/4%,1
2022-04-01,April 2022 Specific Maturities,5 years,March 2022,1-3/4%,April 2022,1-7/8%,+1/8%,2
2022-04-01,April 2022 Specific Maturities,15 years,March 2022,2-1/8%,April 2022,2-1/4%,+1/8%,3
2022-04-01,April 2022 Specific Maturities,20 years,March 2022,2-1/4%,April 2022,2-3/8%,+1/8%,4
2022-03-01,March 2022 Specific Maturities,1 year,February 2022,3/8%,March 2022,7/8%,+1/2%,1
2022-03-01,March 2022 Specific Maturities,5 years,February 2022,1-3/8%,March 2022,1-3/4%,+3/8%,2
2022-03-01,March 2022 Specific Maturities,15 years,February 2022,2%,March 2022,2-1/8%,+1/8%,3
2022-03-01,March 2022 Specific Maturities,20 years,February 2022,2-1/8%,March 2022,2-1/4%,+1/8%,4
2022-02-01,February 2022 Specific Maturities,1 year,January 2022,1/4%,February 2022,3/8%,+1/8%,1
2022-02-01,February 2022 Specific Maturities,5 years,January 2022,1-1/4%,February 2022,1-3/8%,+1/8%,2
2022-02-01,February 2022 Specific Maturities,15 years,January 2022,1-3/4%,February 2022,2%,+1/4%,3
2022-02-01,February 2022 Specific Maturities,20 years,January 2022,1-7/8%,February 2022,2-1/8%,+1/4%,4
2022-01-03,January 2022 Specific Maturities,1 year,December 2021,1/8%,January 2022,1/4%,+1/8%,1
2022-01-03,January 2022 Specific Maturities,5 years,December 2021,1-1/8%,January 2022,1-1/4%,+1/8%,2
2022-01-03,January 2022 Specific Maturities,15 years,December 2021,1-7/8%,January 2022,1-3/4%,-1/8%,3
2022-01-03,January 2022 Specific Maturities,20 years,December 2021,2%,January 2022,1-7/8%,-1/8%,4
2021-12-01,December 2021 Specific Maturities,1 year,November 2021,1/8%,December 2021,1/8%,unch,1
2021-12-01,December 2021 Specific Maturities,5 years,November 2021,1%,December 2021,1-1/8%,+1/8%,2
2021-12-01,December 2021 Specific Maturities,15 years,November 2021,1-3/4%,December 2021,1-7/8%,+1/8%,3
2021-12-01,December 2021 Specific Maturities,20 years,November 2021,2%,December 2021,2%,unch,4
2021-11-01,November 2021 Specific Maturities,1 year,October 2021,1/8%,November 2021,1/8%,unch,1
2021-11-01,November 2021 Specific Maturities,5 years,October 2021,3/4%,November 2021,1%,+1/4%,2
2021-11-01,November 2021 Specific Maturities,15 years,October 2021,1-5/8%,November 2021,1-3/4%,+1/8%,3
2021-11-01,November 2021 Specific Maturities,20 years,October 2021,1-7/8%,November 2021,2%,+1/8%,4
2021-10-01,October 2021 Specific Maturities,1 year,September 2021,1/8%,October 2021,1/8%,unch,1
2021-10-01,October 2021 Specific Maturities,5 years,September 2021,3/4%,October 2021,3/4%,unch,2
2021-10-01,October 2021 Specific Maturities,15 years,September 2021,1-5/8%,October 2021,1-5/8%,unch,3
2021-10-01,October 2021 Specific Maturities,20 years,September 2021,1-7/8%,October 2021,1-7/8%,unch,4
2021-09-01,September 2021 Specific Maturities,1 year,August 2021,1/8%,September 2021,1/8%,unch,1
2021-09-01,September 2021 Specific Maturities,5 years,August 2021,7/8%,September 2021,3/4%,-1/8%,2
2021-09-01,September 2021 Specific Maturities,15 years,August 2021,1-3/4%,September 2021,1-5/8%,-1/8%,3
2021-09-01,September 2021 Specific Maturities,20 years,August 2021,2%,September 2021,1-7/8%,-1/8%,4
2021-08-02,August 2021 Specific Maturities,1 year,July 2021,1/8%,August 2021,1/8%,unch,1
2021-08-02,August 2021 Specific Maturities,5 years,July 2021,3/4%,August 2021,7/8%,+1/8%,2
2021-08-02,August 2021 Specific Maturities,15 years,July 2021,1-7/8%,August 2021,1-3/4%,-1/8%,3
2021-08-02,August 2021 Specific Maturities,20 years,July 2021,2-1/8%,August 2021,2%,-1/8%,4
2021-07-01,July 2021 Specific Maturities,1 year,June 2021,1/8%,July 2021,1/8%,unch,1
2021-07-01,July 2021 Specific Maturities,5 years,June 2021,7/8%,July 2021,3/4%,-1/8%,2
2021-07-01,July 2021 Specific Maturities,15 years,June 2021,2%,July 2021,1-7/8%,-1/8%,3
2021-07-01,July 2021 Specific Maturities,20 years,June 2021,2-1/4%,July 2021,2-1/8%,-1/8%,4
2021-06-01,June 2021 Specific Maturities,1 year,May 2021,1/8%,June 2021,1/8%,unch,1
2021-06-01,June 2021 Specific Maturities,5 years,May 2021,7/8%,June 2021,7/8%,unch,2
2021-06-01,June 2021 Specific Maturities,15 years,May 2021,2%,June 2021,2%,unch,3
2021-06-01,June 2021 Specific Maturities,20 years,May 2021,2-1/4%,June 2021,2-1/4%,unch,4
2021-05-03,May 2021 Specific Maturities,1 year,April 2021,1/8%,May 2021,1/8%,unch,1
2021-05-03,May 2021 Specific Maturities,5 years,April 2021,3/4%,May 2021,7/8%,+1/8%,2
2021-05-03,May 2021 Specific Maturities,15 years,April 2021,2%,May 2021,2%,unch,3
2021-05-03,May 2021 Specific Maturities,20 years,April 2021,2-1/8%,May 2021,2-1/4%,+1/8%,4
2021-04-01,April 2021 Specific Maturities,1 year,March 2021,1/8%,April 2021,1/8%,unch,1
2021-04-01,April 2021 Specific Maturities,5 years,March 2021,1/2%,April 2021,3/4%,+1/4%,2
2021-04-01,April 2021 Specific Maturities,15 years,March 2021,1-1/2%,April 2021,2%,+1/2%,3
2021-04-01,April 2021 Specific Maturities,20 years,March 2021,1-3/4%,April 2021,2-1/8%,+3/8%,4
2021-03-01,March 2021 Specific Maturities,1 year,February 2021,1/8%,March 2021,1/8%,unch,1
2021-03-01,March 2021 Specific Maturities,5 years,February 2021,3/8%,March 2021,1/2%,+1/8%,2
2021-03-01,March 2021 Specific Maturities,15 years,February 2021,1-3/8%,March 2021,1-1/2%,+1/8%,3
2021-03-01,March 2021 Specific Maturities,20 years,February 2021,1-1/2%,March 2021,1-3/4%,+1/4%,4
2021-02-01,February 2021 Specific Maturities,1 year,January 2021,1/8%,February 2021,1/8%,unch,1
2021-02-01,February 2021 Specific Maturities,5 years,January 2021,3/8%,February 2021,3/8%,unch,2
2021-02-01,February 2021 Specific Maturities,15 years,January 2021,1-1/4%,February 2021,1-3/8%,+1/8%,3
2021-02-01,February 2021 Specific Maturities,20 years,January 2021,1-1/2%,February 2021,1-1/2%,unch,4
2021-01-04,January 2021 Specific Maturities,1 year,December 2020,1/8%,January 2021,1/8%,unch,1
2021-01-04,January 2021 Specific Maturities,5 years,December 2020,3/8%,January 2021,3/8%,unch,2
2021-01-04,January 2021 Specific Maturities,15 years,December 2020,1-1/8%,January 2021,1-1/4%,+1/8%,3
2021-01-04,January 2021 Specific Maturities,20 years,December 2020,1-3/8%,January 2021,1-1/2%,+1/8%,4
2020-12-01,December 2020 Specific Maturities,1 year,November 2020,1/8%,December 2020,1/8%,unch,1
2020-12-01,December 2020 Specific Maturities,5 years,November 2020,1/4%,December 2020,3/8%,+1/8%,2
2020-12-01,December 2020 Specific Maturities,15 years,November 2020,1%,December 2020,1-1/8%,+1/8%,3
2020-12-01,December 2020 Specific Maturities,20 years,November 2020,1-1/4%,December 2020,1-3/8%,+1/8%,4
2020-11-02,November 2020 Specific Maturities,1 year,October 2020,1/8%,November 2020,1/8%,unch,1
2020-11-02,November 2020 Specific Maturities,5 years,October 2020,1/4%,November 2020,1/4%,unch,2
2020-11-02,November 2020 Specific Maturities,15 years,October 2020,1%,November 2020,1%,unch,3
2020-11-02,November 2020 Specific Maturities,20 years,October 2020,1-1/4%,November 2020,1-1/4%,unch,4
2020-10-01,October 2020 Specific Maturities,1 year,September 2020,1/8%,October 2020,1/8%,unch,1
2020-10-01,October 2020 Specific Maturities,5 years,September 2020,1/4%,October 2020,1/4%,unch,2
2020-10-01,October 2020 Specific Maturities,15 years,September 2020,7/8%,October 2020,1%,+1/8%,3
2020-10-01,October 2020 Specific Maturities,20 years,September 2020,1-1/8%,October 2020,1-1/4%,+1/8%,4
2020-09-01,September 2020 Specific Maturities,1 year,August 2020,1/8%,September 2020,1/8%,unch,1
2020-09-01,September 2020 Specific Maturities,5 years,August 2020,1/4%,September 2020,1/4%,unch,2
2020-09-01,September 2020 Specific Maturities,15 years,August 2020,7/8%,September 2020,7/8%,unch,3
2020-09-01,September 2020 Specific Maturities,20 years,August 2020,1-1/8%,September 2020,1-1/8%,unch,4
2020-08-03,August 2020 Specific Maturities,1 year,July 2020,1/8%,August 2020,1/8%,unch,1
2020-08-03,August 2020 Specific Maturities,5 years,July 2020,3/8%,August 2020,1/4%,-1/8%,2
2020-08-03,August 2020 Specific Maturities,15 years,July 2020,1%,August 2020,7/8%,-1/8%,3
2020-08-03,August 2020 Specific Maturities,20 years,July 2020,1-1/4%,August 2020,1-1/8%,-1/8%,4
2020-07-01,July 2020 Specific Maturities,1 year,June 2020,1/8%,July 2020,1/8%,unch,1
2020-07-01,July 2020 Specific Maturities,5 years,June 2020,3/8%,July 2020,3/8%,unch,2
2020-07-01,July 2020 Specific Maturities,15 years,June 2020,7/8%,July 2020,1%,+1/8%,3
2020-07-01,July 2020 Specific Maturities,20 years,June 2020,1-1/8%,July 2020,1-1/4%,+1/8%,4
2020-06-01,June 2020 Specific Maturities,1 year,May 2020,1/8%,June 2020,1/8%,unch,1
2020-06-01,June 2020 Specific Maturities,5 years,May 2020,3/8%,June 2020,3/8%,unch,2
2020-06-01,June 2020 Specific Maturities,15 years,May 2020,7/8%,June 2020,7/8%,unch,3
2020-06-01,June 2020 Specific Maturities,20 years,May 2020,1-1/8%,June 2020,1-1/8%,unch,4
2020-05-01,May 2020 Specific Maturities,1 year,April 2020,5/8%,May 2020,1/8%,-1/2%,1
2020-05-01,May 2020 Specific Maturities,5 years,April 2020,3/4%,May 2020,3/8%,-3/8%,2
2020-05-01,May 2020 Specific Maturities,15 years,April 2020,1-1/4%,May 2020,7/8%,-3/8%,3
2020-05-01,May 2020 Specific Maturities,20 years,April 2020,1-3/8%,May 2020,1-1/8%,-1/4%,4
2020-04-01,April 2020 Specific Maturities,1 year,March 2020,1-1/2%,April 2020,5/8%,-7/8%,1
2020-04-01,April 2020 Specific Maturities,5 years,March 2020,1-3/8%,April 2020,3/4%,-5/8%,2
2020-04-01,April 2020 Specific Maturities,15 years,March 2020,1-3/4%,April 2020,1-1/4%,-1/2%,3
2020-04-01,April 2020 Specific Maturities,20 years,March 2020,1-7/8%,April 2020,1-3/8%,-1/2%,4
2020-03-02,March 2020 Specific Maturities,1 year,February 2020,1-1/2%,March 2020,1-1/2%,unch,1
2020-03-02,March 2020 Specific Maturities,5 years,February 2020,1-5/8%,March 2020,1-3/8%,-1/4%,2
2020-03-02,March 2020 Specific Maturities,15 years,February 2020,2%,March 2020,1-3/4%,-1/4%,3
2020-03-02,March 2020 Specific Maturities,20 years,February 2020,2-1/8%,March 2020,1-7/8%,-1/4%,4
2020-02-03,February 2020 Specific Maturities,1 year,January 2020,1-1/2%,February 2020,1-1/2%,unch,1
2020-02-03,February 2020 Specific Maturities,5 years,January 2020,1-5/8%,February 2020,1-5/8%,unch,2
2020-02-03,February 2020 Specific Maturities,15 years,January 2020,2%,February 2020,2%,unch,3
2020-02-03,February 2020 Specific Maturities,20 years,January 2020,2-1/8%,February 2020,2-1/8%,unch,4
2020-01-02,January 2020 Specific Maturities,1 year,December 2019,1-5/8%,January 2020,1-1/2%,-1/8%,1
2020-01-02,January 2020 Specific Maturities,5 years,December 2019,1-5/8%,January 2020,1-5/8%,unch,2
2020-01-02,January 2020 Specific Maturities,15 years,December 2019,2%,January 2020,2%,unch,3
2020-01-02,January 2020 Specific Maturities,20 years,December 2019,2-1/8%,January 2020,2-1/8%,unch,4
2019-12-02,December 2019 Specific Maturities,1 year,November 2019,1-5/8%,December 2019,1-5/8%,unch,1
2019-12-02,December 2019 Specific Maturities,5 years,November 2019,1-1/2%,December 2019,1-5/8%,+1/8%,2
2019-12-02,December 2019 Specific Maturities,15 years,November 2019,1-3/4%,December 2019,2%,+1/4%,3
2019-12-02,December 2019 Specific Maturities,20 years,November 2019,2%,December 2019,2-1/8%,+1/8%,4
2019-11-01,November 2019 Specific Maturities,1 year,October 2019,1-3/4%,November 2019,1-5/8%,-1/8%,1
2019-11-01,November 2019 Specific Maturities,5 years,October 2019,1-1/2%,November 2019,1-1/2%,unch,2
2019-11-01,November 2019 Specific Maturities,15 years,October 2019,1-3/4%,November 2019,1-3/4%,unch,3
2019-11-01,November 2019 Specific Maturities,20 years,October 2019,1-7/8%,November 2019,2%,+1/8%,4
2019-10-01,October 2019 Specific Maturities,1 year,September 2019,1-7/8%,October 2019,1-3/4%,-1/8%,1
2019-10-01,October 2019 Specific Maturities,5 years,September 2019,1-5/8%,October 2019,1-1/2%,-1/8%,2
2019-10-01,October 2019 Specific Maturities,15 years,September 2019,2%,October 2019,1-3/4%,-1/4%,3
2019-10-01,October 2019 Specific Maturities,20 years,September 2019,2-1/8%,October 2019,1-7/8%,-1/4%,4
2019-09-03,September 2019 Specific Maturities,1 year,August 2019,2%,September 2019,1-7/8%,-1/8%,1
2019-09-03,September 2019 Specific Maturities,5 years,August 2019,1-3/4%,September 2019,1-5/8%,-1/8%,2
2019-09-03,September 2019 Specific Maturities,15 years,August 2019,2-1/4%,September 2019,2%,-1/4%,3
2019-09-03,September 2019 Specific Maturities,20 years,August 2019,2-3/8%,September 2019,2-1/8%,-1/4%,4
2019-08-01,August 2019 Specific Maturities,1 year,July 2019,2-1/8%,August 2019,2%,-1/8%,1
2019-08-01,August 2019 Specific Maturities,5 years,July 2019,1-7/8%,August 2019,1-3/4%,-1/8%,2
2019-08-01,August 2019 Specific Maturities,15 years,July 2019,2-1/4%,August 2019,2-1/4%,unch,3
2019-08-01,August 2019 Specific Maturities,20 years,July 2019,2-3/8%,August 2019,2-3/8%,unch,4
2019-07-01,July 2019 Specific Maturities,1 year,June 2019,2-3/8%,July 2019,2-1/8%,-1/4%,1
2019-07-01,July 2019 Specific Maturities,5 years,June 2019,2-1/4%,July 2019,1-7/8%,-3/8%,2
2019-07-01,July 2019 Specific Maturities,15 years,June 2019,2-5/8%,July 2019,2-1/4%,-3/8%,3
2019-07-01,July 2019 Specific Maturities,20 years,June 2019,2-3/4%,July 2019,2-3/8%,-3/8%,4
2019-06-03,June 2019 Specific Maturities,1 year,May 2019,2-3/8%,June 2019,2-3/8%,unch,1
2019-06-03,June 2019 Specific Maturities,5 years,May 2019,2-1/4%,June 2019,2-1/4%,unch,2
2019-06-03,June 2019 Specific Maturities,15 years,May 2019,2-5/8%,June 2019,2-5/8%,unch,3
2019-06-03,June 2019 Specific Maturities,20 years,May 2019,2-3/4%,June 2019,2-3/4%,unch,4
2019-05-01,May 2019 Specific Maturities,1 year,April 2019,2-1/2%,May 2019,2-3/8%,-1/8%,1
2019-05-01,May 2019 Specific Maturities,5 years,April 2019,2-1/2%,May 2019,2-1/4%,-1/4%,2
2019-05-01,May 2019 Specific Maturities,15 years,April 2019,2-3/4%,May 2019,2-5/8%,-1/8%,3
2019-05-01,May 2019 Specific Maturities,20 years,April 2019,2-7/8%,May 2019,2-3/4%,-1/8%,4
2019-04-01,April 2019 Specific Maturities,1 year,March 2019,2-5/8%,April 2019,2-1/2%,-1/8%,1
2019-04-01,April 2019 Specific Maturities,5 years,March 2019,2-1/2%,April 2019,2-1/2%,unch,2
2019-04-01,April 2019 Specific Maturities,15 years,March 2019,2-3/4%,April 2019,2-3/4%,unch,3
2019-04-01,April 2019 Specific Maturities,20 years,March 2019,2-7/8%,April 2019,2-7/8%,unch,4
2019-03-01,March 2019 Specific Maturities,1 year,February 2019,2-5/8%,March 2019,2-5/8%,unch,1
2019-03-01,March 2019 Specific Maturities,5 years,February 2019,2-1/2%,March 2019,2-1/2%,unch,2
2019-03-01,March 2019 Specific Maturities,15 years,February 2019,2-7/8%,March 2019,2-3/4%,-1/8%,3
2019-03-01,March 2019 Specific Maturities,20 years,February 2019,2-7/8%,March 2019,2-7/8%,unch,4
2019-02-01,February 2019 Specific Maturities,1 year,January 2019,2-5/8%,February 2019,2-5/8%,unch,1
2019-02-01,February 2019 Specific Maturities,5 years,January 2019,2-3/4%,February 2019,2-1/2%,-1/4%,2
2019-02-01,February 2019 Specific Maturities,15 years,January 2019,3%,February 2019,2-7/8%,-1/8%,3
2019-02-01,February 2019 Specific Maturities,20 years,January 2019,3-1/8%,February 2019,2-7/8%,-1/4%,4
2019-01-02,January 2019 Specific Maturities,1 year,December 2018,2-3/4%,January 2019,2-5/8%,-1/8%,1
2019-01-02,January 2019 Specific Maturities,5 years,December 2018,3%,January 2019,2-3/4%,-1/4%,2
2019-01-02,January 2019 Specific Maturities,15 years,December 2018,3-1/4%,January 2019,3%,-1/4%,3
2019-01-02,January 2019 Specific Maturities,20 years,December 2018,3-1/4%,January 2019,3-1/8%,-1/8%,4
2018-12-03,December 2018 Specific Maturities,1 year,November 2018,2-5/8%,December 2018,2-3/4%,+1/8%,1
2018-12-03,December 2018 Specific Maturities,5 years,November 2018,3%,December 2018,3%,unch,2
2018-12-03,December 2018 Specific Maturities,15 years,November 2018,3-1/8%,December 2018,3-1/4%,+1/8%,3
2018-12-03,December 2018 Specific Maturities,20 years,November 2018,3-1/4%,December 2018,3-1/4%,unch,4
2018-11-01,November 2018 Specific Maturities,1 year,October 2018,2-1/2%,November 2018,2-5/8%,+1/8%,1
2018-11-01,November 2018 Specific Maturities,5 years,October 2018,2-3/4%,November 2018,3%,+1/4%,2
2018-11-01,November 2018 Specific Maturities,15 years,October 2018,3%,November 2018,3-1/8%,+1/8%,3
2018-11-01,November 2018 Specific Maturities,20 years,October 2018,3%,November 2018,3-1/4%,+1/4%,4
2018-10-01,October 2018 Specific Maturities,1 year,September 2018,2-3/8%,October 2018,2-1/2%,+1/8%,1
2018-10-01,October 2018 Specific Maturities,5 years,September 2018,2-3/4%,October 2018,2-3/4%,unch,2
2018-10-01,October 2018 Specific Maturities,15 years,September 2018,3%,October 2018,3%,unch,3
2018-10-01,October 2018 Specific Maturities,20 years,September 2018,3%,October 2018,3%,unch,4
2018-09-04,September 2018 Specific Maturities,1 year,August 2018,2-3/8%,September 2018,2-3/8%,unch,1
2018-09-04,September 2018 Specific Maturities,5 years,August 2018,2-3/4%,September 2018,2-3/4%,unch,2
